n,E1_before_H,E2_after_first_H,E3_after_oracle,E4_after_final_H,no_error
1,0.666536278487569,0.6667835664134438,0.6668402178291897,0.6662269437730203,1.0
2,0.7499019840584714,0.7501591635013812,0.7501366827808471,0.7497599059046961,1.0
3,0.7776333016804788,0.7777645890883977,0.7777088369014733,0.777930346934469,1.0
4,0.7915535886423803,0.7915587592081031,0.7916277750201427,0.7916183331175184,1.0
5,0.7998564830801105,0.8000775135244015,0.7999093577348066,0.799914213570442,1.0
6,0.8056781504182013,0.8055780362760896,0.8056469771523941,0.8056967344805095,1.0
7,0.809532031044462,0.8095739094152854,0.809525479520192,0.809508265711326,1.0
