n,E1_before_H,E2_after_first_H,E3_after_oracle,E4_after_final_H,no_error
1,0.6663839775219298,0.6649790981359649,0.6671292489035088,0.6666495339912281,1.0
3,0.7781375639619883,0.7781090095029239,0.77734375,0.7770724826388888,1.0
5,0.8004283168859649,0.8001507675438596,0.799621367872807,0.799719024122807,1.0
7,0.8094454887218046,0.8097330729166666,0.8092301065162907,0.8093745104949874,1.0
9,0.8148367065667641,0.8147681758650097,0.814802441215887,0.8148309956749513,1.0
