error_position,mean_average_success,min_average_success,max_average_success,mean_success_loss,rank,interpretation
E1_before_H,0.7333333333333328,1.4802973661668753e-16,0.9999999999999999,0.26666666666666716,1,Most damaging error position
E2_after_first_H,0.7333333333333328,1.4802973661668753e-16,0.9999999999999999,0.26666666666666716,2,Intermediate sensitivity
E3_after_oracle,0.7333333333333328,1.4802973661668753e-16,0.9999999999999999,0.26666666666666716,3,Intermediate sensitivity
E4_after_final_H,0.7333333333333328,1.4802973661668753e-16,0.9999999999999999,0.26666666666666716,4,Least damaging error position
