n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success,shots
1,0.3490658503988659,20.0,Y,0,balanced,no_error,0.0,1.0,1024
1,0.3490658503988659,20.0,Y,0,balanced,E1_before_H,0.02734375,0.97265625,1024
1,0.3490658503988659,20.0,Y,0,balanced,E2_after_first_H,0.015625,0.984375,1024
1,0.3490658503988659,20.0,Y,0,balanced,E3_after_oracle,0.0244140625,0.9755859375,1024
1,0.3490658503988659,20.0,Y,0,balanced,E4_after_final_H,0.0322265625,0.9677734375,1024
1,0.3490658503988659,20.0,Z,0,constant_0,no_error,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_0,E2_after_first_H,0.970703125,0.970703125,1024
1,0.3490658503988659,20.0,Z,0,constant_0,E3_after_oracle,0.974609375,0.974609375,1024
1,0.3490658503988659,20.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_1,no_error,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E2_after_first_H,0.9716796875,0.9716796875,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E3_after_oracle,0.96875,0.96875,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,balanced,no_error,0.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,balanced,E1_before_H,0.0,1.0,1024
1,0.3490658503988659,20.0,Z,0,balanced,E2_after_first_H,0.0234375,0.9765625,1024
1,0.3490658503988659,20.0,Z,0,balanced,E3_after_oracle,0.033203125,0.966796875,1024
1,0.3490658503988659,20.0,Z,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_0,no_error,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_0,E1_before_H,0.943359375,0.943359375,1024
