n,p,target_qubit,function,error_position,P0,success,shots
9,0.0,4,constant_1,no_error,1.0,1.0,4096
9,0.0,4,constant_1,D(P)1_before_H,1.0,1.0,4096
9,0.0,4,constant_1,D(P)2_after_first_H,1.0,1.0,4096
9,0.0,4,constant_1,D(P)3_after_oracle,1.0,1.0,4096
9,0.0,4,constant_1,D(P)4_after_final_H,1.0,1.0,4096
9,0.05,4,constant_1,no_error,1.0,1.0,4096
9,0.05,4,constant_1,D(P)1_before_H,0.97509765625,0.97509765625,4096
9,0.05,4,constant_1,D(P)2_after_first_H,0.9736328125,0.9736328125,4096
9,0.05,4,constant_1,D(P)3_after_oracle,0.97412109375,0.97412109375,4096
9,0.05,4,constant_1,D(P)4_after_final_H,0.974365234375,0.974365234375,4096
9,0.1,4,constant_1,no_error,1.0,1.0,4096
9,0.1,4,constant_1,D(P)1_before_H,0.94482421875,0.94482421875,4096
9,0.1,4,constant_1,D(P)2_after_first_H,0.953369140625,0.953369140625,4096
9,0.1,4,constant_1,D(P)3_after_oracle,0.949462890625,0.949462890625,4096
9,0.1,4,constant_1,D(P)4_after_final_H,0.950439453125,0.950439453125,4096
9,0.15000000000000002,4,constant_1,no_error,1.0,1.0,4096
9,0.15000000000000002,4,constant_1,D(P)1_before_H,0.921875,0.921875,4096
9,0.15000000000000002,4,constant_1,D(P)2_after_first_H,0.929443359375,0.929443359375,4096
9,0.15000000000000002,4,constant_1,D(P)3_after_oracle,0.921630859375,0.921630859375,4096
9,0.15000000000000002,4,constant_1,D(P)4_after_final_H,0.928466796875,0.928466796875,4096
9,0.2,4,constant_1,no_error,1.0,1.0,4096
9,0.2,4,constant_1,D(P)1_before_H,0.897705078125,0.897705078125,4096
9,0.2,4,constant_1,D(P)2_after_first_H,0.894775390625,0.894775390625,4096
9,0.2,4,constant_1,D(P)3_after_oracle,0.901611328125,0.901611328125,4096
9,0.2,4,constant_1,D(P)4_after_final_H,0.897705078125,0.897705078125,4096
9,0.25,4,constant_1,no_error,1.0,1.0,4096
9,0.25,4,constant_1,D(P)1_before_H,0.876220703125,0.876220703125,4096
9,0.25,4,constant_1,D(P)2_after_first_H,0.87939453125,0.87939453125,4096
9,0.25,4,constant_1,D(P)3_after_oracle,0.8779296875,0.8779296875,4096
9,0.25,4,constant_1,D(P)4_after_final_H,0.877685546875,0.877685546875,4096
9,0.30000000000000004,4,constant_1,no_error,1.0,1.0,4096
9,0.30000000000000004,4,constant_1,D(P)1_before_H,0.86181640625,0.86181640625,4096
9,0.30000000000000004,4,constant_1,D(P)2_after_first_H,0.851806640625,0.851806640625,4096
9,0.30000000000000004,4,constant_1,D(P)3_after_oracle,0.8486328125,0.8486328125,4096
9,0.30000000000000004,4,constant_1,D(P)4_after_final_H,0.84423828125,0.84423828125,4096
9,0.35000000000000003,4,constant_1,no_error,1.0,1.0,4096
9,0.35000000000000003,4,constant_1,D(P)1_before_H,0.8291015625,0.8291015625,4096
9,0.35000000000000003,4,constant_1,D(P)2_after_first_H,0.8193359375,0.8193359375,4096
9,0.35000000000000003,4,constant_1,D(P)3_after_oracle,0.8310546875,0.8310546875,4096
9,0.35000000000000003,4,constant_1,D(P)4_after_final_H,0.822998046875,0.822998046875,4096
9,0.4,4,constant_1,no_error,1.0,1.0,4096
9,0.4,4,constant_1,D(P)1_before_H,0.797119140625,0.797119140625,4096
9,0.4,4,constant_1,D(P)2_after_first_H,0.7880859375,0.7880859375,4096
9,0.4,4,constant_1,D(P)3_after_oracle,0.802978515625,0.802978515625,4096
9,0.4,4,constant_1,D(P)4_after_final_H,0.807373046875,0.807373046875,4096
9,0.45,4,constant_1,no_error,1.0,1.0,4096
9,0.45,4,constant_1,D(P)1_before_H,0.778076171875,0.778076171875,4096
9,0.45,4,constant_1,D(P)2_after_first_H,0.7783203125,0.7783203125,4096
9,0.45,4,constant_1,D(P)3_after_oracle,0.77392578125,0.77392578125,4096
9,0.45,4,constant_1,D(P)4_after_final_H,0.779296875,0.779296875,4096
9,0.5,4,constant_1,no_error,1.0,1.0,4096
9,0.5,4,constant_1,D(P)1_before_H,0.754638671875,0.754638671875,4096
9,0.5,4,constant_1,D(P)2_after_first_H,0.744384765625,0.744384765625,4096
9,0.5,4,constant_1,D(P)3_after_oracle,0.74609375,0.74609375,4096
9,0.5,4,constant_1,D(P)4_after_final_H,0.74853515625,0.74853515625,4096
9,0.55,4,constant_1,no_error,1.0,1.0,4096
9,0.55,4,constant_1,D(P)1_before_H,0.729248046875,0.729248046875,4096
9,0.55,4,constant_1,D(P)2_after_first_H,0.7060546875,0.7060546875,4096
9,0.55,4,constant_1,D(P)3_after_oracle,0.720703125,0.720703125,4096
9,0.55,4,constant_1,D(P)4_after_final_H,0.73046875,0.73046875,4096
9,0.6000000000000001,4,constant_1,no_error,1.0,1.0,4096
9,0.6000000000000001,4,constant_1,D(P)1_before_H,0.6884765625,0.6884765625,4096
9,0.6000000000000001,4,constant_1,D(P)2_after_first_H,0.6982421875,0.6982421875,4096
9,0.6000000000000001,4,constant_1,D(P)3_after_oracle,0.701171875,0.701171875,4096
9,0.6000000000000001,4,constant_1,D(P)4_after_final_H,0.69091796875,0.69091796875,4096
9,0.65,4,constant_1,no_error,1.0,1.0,4096
9,0.65,4,constant_1,D(P)1_before_H,0.678466796875,0.678466796875,4096
9,0.65,4,constant_1,D(P)2_after_first_H,0.67529296875,0.67529296875,4096
9,0.65,4,constant_1,D(P)3_after_oracle,0.6728515625,0.6728515625,4096
9,0.65,4,constant_1,D(P)4_after_final_H,0.68017578125,0.68017578125,4096
9,0.7000000000000001,4,constant_1,no_error,1.0,1.0,4096
9,0.7000000000000001,4,constant_1,D(P)1_before_H,0.64453125,0.64453125,4096
9,0.7000000000000001,4,constant_1,D(P)2_after_first_H,0.66162109375,0.66162109375,4096
9,0.7000000000000001,4,constant_1,D(P)3_after_oracle,0.646240234375,0.646240234375,4096
9,0.7000000000000001,4,constant_1,D(P)4_after_final_H,0.658935546875,0.658935546875,4096
9,0.75,4,constant_1,no_error,1.0,1.0,4096
9,0.75,4,constant_1,D(P)1_before_H,0.624267578125,0.624267578125,4096
9,0.75,4,constant_1,D(P)2_after_first_H,0.629150390625,0.629150390625,4096
9,0.75,4,constant_1,D(P)3_after_oracle,0.633056640625,0.633056640625,4096
9,0.75,4,constant_1,D(P)4_after_final_H,0.631103515625,0.631103515625,4096
9,0.8,4,constant_1,no_error,1.0,1.0,4096
9,0.8,4,constant_1,D(P)1_before_H,0.592041015625,0.592041015625,4096
9,0.8,4,constant_1,D(P)2_after_first_H,0.60205078125,0.60205078125,4096
9,0.8,4,constant_1,D(P)3_after_oracle,0.595947265625,0.595947265625,4096
9,0.8,4,constant_1,D(P)4_after_final_H,0.59814453125,0.59814453125,4096
9,0.8500000000000001,4,constant_1,no_error,1.0,1.0,4096
9,0.8500000000000001,4,constant_1,D(P)1_before_H,0.57177734375,0.57177734375,4096
9,0.8500000000000001,4,constant_1,D(P)2_after_first_H,0.5849609375,0.5849609375,4096
9,0.8500000000000001,4,constant_1,D(P)3_after_oracle,0.575439453125,0.575439453125,4096
9,0.8500000000000001,4,constant_1,D(P)4_after_final_H,0.57275390625,0.57275390625,4096
9,0.9,4,constant_1,no_error,1.0,1.0,4096
9,0.9,4,constant_1,D(P)1_before_H,0.54736328125,0.54736328125,4096
9,0.9,4,constant_1,D(P)2_after_first_H,0.54931640625,0.54931640625,4096
9,0.9,4,constant_1,D(P)3_after_oracle,0.5498046875,0.5498046875,4096
9,0.9,4,constant_1,D(P)4_after_final_H,0.544921875,0.544921875,4096
9,0.9500000000000001,4,constant_1,no_error,1.0,1.0,4096
9,0.9500000000000001,4,constant_1,D(P)1_before_H,0.52587890625,0.52587890625,4096
9,0.9500000000000001,4,constant_1,D(P)2_after_first_H,0.52978515625,0.52978515625,4096
9,0.9500000000000001,4,constant_1,D(P)3_after_oracle,0.540283203125,0.540283203125,4096
9,0.9500000000000001,4,constant_1,D(P)4_after_final_H,0.52294921875,0.52294921875,4096
9,1.0,4,constant_1,no_error,1.0,1.0,4096
9,1.0,4,constant_1,D(P)1_before_H,0.506103515625,0.506103515625,4096
9,1.0,4,constant_1,D(P)2_after_first_H,0.4990234375,0.4990234375,4096
9,1.0,4,constant_1,D(P)3_after_oracle,0.5048828125,0.5048828125,4096
9,1.0,4,constant_1,D(P)4_after_final_H,0.49560546875,0.49560546875,4096
9,0.0,4,constant_0,no_error,1.0,1.0,4096
9,0.0,4,constant_0,D(P)1_before_H,1.0,1.0,4096
9,0.0,4,constant_0,D(P)2_after_first_H,1.0,1.0,4096
9,0.0,4,constant_0,D(P)3_after_oracle,1.0,1.0,4096
9,0.0,4,constant_0,D(P)4_after_final_H,1.0,1.0,4096
9,0.05,4,constant_0,no_error,1.0,1.0,4096
9,0.05,4,constant_0,D(P)1_before_H,0.971923828125,0.971923828125,4096
9,0.05,4,constant_0,D(P)2_after_first_H,0.976806640625,0.976806640625,4096
9,0.05,4,constant_0,D(P)3_after_oracle,0.97119140625,0.97119140625,4096
9,0.05,4,constant_0,D(P)4_after_final_H,0.976318359375,0.976318359375,4096
9,0.1,4,constant_0,no_error,1.0,1.0,4096
9,0.1,4,constant_0,D(P)1_before_H,0.948974609375,0.948974609375,4096
9,0.1,4,constant_0,D(P)2_after_first_H,0.9560546875,0.9560546875,4096
9,0.1,4,constant_0,D(P)3_after_oracle,0.952392578125,0.952392578125,4096
9,0.1,4,constant_0,D(P)4_after_final_H,0.954833984375,0.954833984375,4096
9,0.15000000000000002,4,constant_0,no_error,1.0,1.0,4096
9,0.15000000000000002,4,constant_0,D(P)1_before_H,0.92578125,0.92578125,4096
9,0.15000000000000002,4,constant_0,D(P)2_after_first_H,0.923583984375,0.923583984375,4096
9,0.15000000000000002,4,constant_0,D(P)3_after_oracle,0.929443359375,0.929443359375,4096
9,0.15000000000000002,4,constant_0,D(P)4_after_final_H,0.927001953125,0.927001953125,4096
9,0.2,4,constant_0,no_error,1.0,1.0,4096
9,0.2,4,constant_0,D(P)1_before_H,0.90283203125,0.90283203125,4096
9,0.2,4,constant_0,D(P)2_after_first_H,0.9091796875,0.9091796875,4096
9,0.2,4,constant_0,D(P)3_after_oracle,0.8984375,0.8984375,4096
9,0.2,4,constant_0,D(P)4_after_final_H,0.908203125,0.908203125,4096
9,0.25,4,constant_0,no_error,1.0,1.0,4096
9,0.25,4,constant_0,D(P)1_before_H,0.873291015625,0.873291015625,4096
9,0.25,4,constant_0,D(P)2_after_first_H,0.878173828125,0.878173828125,4096
9,0.25,4,constant_0,D(P)3_after_oracle,0.880859375,0.880859375,4096
9,0.25,4,constant_0,D(P)4_after_final_H,0.875244140625,0.875244140625,4096
9,0.30000000000000004,4,constant_0,no_error,1.0,1.0,4096
9,0.30000000000000004,4,constant_0,D(P)1_before_H,0.84765625,0.84765625,4096
9,0.30000000000000004,4,constant_0,D(P)2_after_first_H,0.852294921875,0.852294921875,4096
9,0.30000000000000004,4,constant_0,D(P)3_after_oracle,0.84130859375,0.84130859375,4096
9,0.30000000000000004,4,constant_0,D(P)4_after_final_H,0.853515625,0.853515625,4096
9,0.35000000000000003,4,constant_0,no_error,1.0,1.0,4096
9,0.35000000000000003,4,constant_0,D(P)1_before_H,0.83251953125,0.83251953125,4096
9,0.35000000000000003,4,constant_0,D(P)2_after_first_H,0.8310546875,0.8310546875,4096
9,0.35000000000000003,4,constant_0,D(P)3_after_oracle,0.8330078125,0.8330078125,4096
9,0.35000000000000003,4,constant_0,D(P)4_after_final_H,0.83447265625,0.83447265625,4096
9,0.4,4,constant_0,no_error,1.0,1.0,4096
9,0.4,4,constant_0,D(P)1_before_H,0.795654296875,0.795654296875,4096
9,0.4,4,constant_0,D(P)2_after_first_H,0.805419921875,0.805419921875,4096
9,0.4,4,constant_0,D(P)3_after_oracle,0.79833984375,0.79833984375,4096
9,0.4,4,constant_0,D(P)4_after_final_H,0.812255859375,0.812255859375,4096
9,0.45,4,constant_0,no_error,1.0,1.0,4096
9,0.45,4,constant_0,D(P)1_before_H,0.77685546875,0.77685546875,4096
9,0.45,4,constant_0,D(P)2_after_first_H,0.771728515625,0.771728515625,4096
9,0.45,4,constant_0,D(P)3_after_oracle,0.78759765625,0.78759765625,4096
9,0.45,4,constant_0,D(P)4_after_final_H,0.778076171875,0.778076171875,4096
9,0.5,4,constant_0,no_error,1.0,1.0,4096
