n,function,axis,Error Location,Max_Loss_Percent,Mean_Loss_Percent
9,constant_0,Y,E2,100.0,49.98458059210526
9,constant_0,Y,E3,100.0,49.98458059210526
9,constant_0,Y,E4,100.0,49.38322368421053
9,constant_0,Z,E1,0.0,0.0
9,constant_0,Z,E2,100.0,49.76356907894737
9,constant_0,Z,E3,100.0,50.08223684210526
9,constant_0,Z,E4,0.0,0.0
9,constant_1,X,E1,100.0,50.077097039473685
9,constant_1,X,E2,0.0,0.0
9,constant_1,X,E3,0.0,0.0
9,constant_1,X,E4,100.0,49.77384868421053
9,constant_1,Y,E1,100.0,49.89720394736842
9,constant_1,Y,E2,100.0,50.09251644736842
9,constant_1,Y,E3,100.0,49.96916118421053
9,constant_1,Y,E4,100.0,50.14391447368421
9,constant_1,Z,E1,0.0,0.0
9,constant_1,Z,E2,100.0,50.05653782894737
9,constant_1,Z,E3,100.0,49.7327302631579
9,constant_1,Z,E4,0.0,0.0
